date,type,price
2021-06-09,Studio,2295.0
2021-07-14,1bd,2395.0
2021-07-14,2bds,2995.0
2021-07-14,3bds,4185.5
2021-07-14,4bds,4500.0
2021-07-14,5bds,6400.0
2021-07-14,Studio,2295.0
2021-07-16,1bd,2450.0
2021-07-16,2bds,3125.0
2021-07-16,3bds,4876.0
2021-07-16,7bds,11500.0
2021-07-16,Studio,2195.0
2021-08-12,1bd,2200.0
2021-08-12,2bds,3600.0
2021-08-12,3bds,4300.0
2021-08-12,Studio,2072.5
2021-08-16,1bd,2400.0
2021-08-16,2bds,3247.5
2021-08-16,3bds,4950.0
2021-08-16,4bds,5300.0
2021-08-16,7bds,9850.0
2021-08-16,Studio,2245.0
2021-09-13,1bd,2400.0
2021-09-13,2bds,3150.0
2021-09-13,3bds,4338.0
2021-09-13,4bds,3950.0
2021-09-13,Studio,2328.0
2021-10-04,1bd,2495.0
2021-10-04,2bds,3559.0
2021-10-04,3bds,4920.0
2021-10-04,Studio,2589.5
2021-10-09,1bd,2497.5
2021-10-09,2bds,3559.0
2021-10-09,3bds,4835.0
2021-10-09,Studio,2163.0
2021-10-13,1bd,2450.0
2021-10-13,2bds,2875.0
2021-10-13,3bds,4510.0
2021-10-13,Studio,2807.5
2021-10-17,1bd,2650.0
2021-10-17,2bds,3250.0
2021-10-17,3bds,4100.0
2021-10-17,4bds,4485.0
2021-10-17,5bds,5102.5
2021-10-17,Studio,2807.5
2021-10-27,1bd,3007.5
2021-10-27,2bds,3150.0
2021-10-27,3bds,4920.0
2021-10-27,4bds,4485.0
2021-10-27,Studio,2766.5
2021-11-02,1bd,3225.0
2021-11-02,2bds,3355.0
2021-11-02,3bds,4770.0
2021-11-02,4bds,4485.0
2021-11-02,Studio,2387.5
2021-11-09,1bd,2561.0
2021-11-09,2bds,3975.0
2021-11-09,3bds,4200.0
2021-11-09,4bds,4485.0
2021-11-09,Studio,2247.5
2021-11-16,1bd,2596.0
2021-11-16,2bds,3850.0
2021-11-16,3bds,5207.5
2021-11-16,4bds,4850.0
2021-11-16,Studio,1900.0
2021-11-24,1bd,2800.0
2021-11-24,2bds,3717.0
2021-11-24,3bds,3787.5
2021-11-24,5bds,5000.0
2021-11-24,7bds,9850.0
2021-11-24,Studio,2683.0
2021-12-01,1bd,2726.5
2021-12-01,2bds,3400.0
2021-12-01,3bds,3875.0
2021-12-01,4bds,4867.5
2021-12-01,7bds,9850.0
2021-12-01,Studio,2715.5
2021-12-02,1bd,2695.0
2021-12-02,2bds,3295.0
2021-12-02,3bds,3875.0
2021-12-02,4bds,4867.5
2021-12-02,Studio,2713.5
2021-12-20,1bd,2560.0
2021-12-20,2bds,3775.0
2021-12-20,3bds,4397.5
2021-12-20,4bds,4850.0
2021-12-20,Studio,2823.0
2021-12-21,1bd,2560.0
2021-12-21,2bds,3775.0
2021-12-21,3bds,4397.5
2021-12-21,4bds,4850.0
2021-12-21,Studio,2823.0
2021-12-25,1bd,2560.0
2021-12-25,2bds,3775.0
2021-12-25,3bds,4920.0
2021-12-25,4bds,4850.0
2021-12-25,Studio,2823.0
2022-01-01,1bd,2650.0
2022-01-01,2bds,3528.0
2022-01-01,3bds,4710.0
2022-01-01,7bds,9850.0
2022-01-01,Studio,2000.0
2022-01-02,1bd,2650.0
2022-01-02,2bds,3528.0
2022-01-02,3bds,4500.0
2022-01-02,Studio,2000.0
2022-01-11,1bd,2400.0
2022-01-11,2bds,3524.5
2022-01-11,3bds,4920.0
2022-01-11,Studio,2950.0
2022-02-01,1bd,2897.0
2022-02-01,2bds,3600.0
2022-02-01,3bds,3950.0
2022-02-01,Studio,2718.5
2022-02-06,1bd,2897.0
2022-02-06,2bds,3600.0
2022-02-06,3bds,3900.0
2022-02-06,4bds,6200.0
2022-02-06,6bds,8850.0
2022-02-06,Studio,2768.0
2022-02-10,1bd,2841.0
2022-02-10,2bds,3557.5
2022-02-10,3bds,4410.0
2022-02-10,4bds,6800.0
2022-02-10,Studio,2768.0
2022-02-11,1bd,2797.5
2022-02-11,2bds,3487.5
2022-02-11,3bds,4920.0
2022-02-11,4bds,6800.0
2022-02-11,5bds,7135.0
2022-02-11,Studio,2768.0
2022-03-01,1bd,2676.0
2022-03-01,2bds,3459.0
2022-03-01,3bds,5288.0
2022-03-01,5bds,7135.0
2022-03-01,Studio,2578.0
2022-03-10,1bd,2812.5
2022-03-10,2bds,3572.0
2022-03-10,3bds,3995.0
2022-03-10,5bds,8065.0
2022-03-10,Studio,2730.0
2022-03-18,1bd,2664.5
2022-03-18,2bds,3495.0
2022-03-18,3bds,4776.0
2022-03-18,4bds,6850.0
2022-03-18,Studio,1995.0
2022-03-21,1bd,2679.0
2022-03-21,2bds,3510.0
2022-03-21,3bds,4500.0
2022-03-21,4bds,6395.0
2022-03-21,5bds,7395.0
2022-03-21,Studio,2103.0
2022-03-24,1bd,2743.5
2022-03-24,2bds,3539.5
2022-03-24,3bds,4195.0
2022-03-24,Studio,2786.0
2022-03-25,1bd,2995.0
2022-03-25,2bds,3539.5
2022-03-25,3bds,4750.0
2022-03-25,Studio,2834.0
2022-04-03,1bd,2542.0
2022-04-03,2bds,3645.0
2022-04-03,3bds,5145.0
2022-04-03,4bds,6595.0
2022-04-03,5bds,7135.0
2022-04-03,Studio,2595.5
